source,type,scenario,year,oil_production,oil_production_unit,cumulated_oil_prod_since_2018,extrapolation_curve,oil_reserves,oil_reserves_label
The Shift Project,Extrapolation,Sustainable Development,2136,21.423567529411773,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2137,20.96860469117648,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2138,20.513641852941188,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2139,20.058679014705895,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2140,19.603716176470602,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2141,19.14875333823531,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2142,18.693790500000013,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2143,18.23882766176472,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2144,17.783864823529427,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2145,17.328901985294124,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2146,16.87393914705883,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2147,16.418976308823538,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2148,15.964013470588245,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2149,15.50905063235295,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2150,15.054087794117658,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2151,14.599124955882365,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2152,14.14416211764707,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2153,13.689199279411778,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2154,13.234236441176485,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2155,12.77927360294119,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2156,12.324310764705897,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2157,11.869347926470605,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2158,11.41438508823531,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2159,10.959422250000017,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2160,10.504459411764714,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2161,10.04949657352942,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2162,9.594533735294128,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2163,9.139570897058833,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2164,8.68460805882354,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2165,8.229645220588248,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2166,7.774682382352954,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2167,7.31971954411766,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2168,6.8647567058823675,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2169,6.409793867647074,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2170,5.954831029411781,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2171,5.499868191176487,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2172,5.044905352941194,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2173,4.589942514705901,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2174,4.134979676470607,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2175,3.680016838235314,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2176,3.2250540000000205,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2177,2.7700911617647175,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2178,2.3151283235294238,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2179,1.8601654852941305,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2180,1.4052026470588372,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2181,0.9502398088235439,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2182,0.4952769705882505,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2183,0.040314132352957104,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2184,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2185,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2186,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2187,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2188,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2189,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2190,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2191,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2192,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2193,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2194,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2195,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2196,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2197,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2198,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2199,0,mb/d,nan,Triangle,1700,1700 (IEA)
The Shift Project,Extrapolation,Sustainable Development,2040,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2041,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2042,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2043,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2044,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2045,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2046,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2047,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2048,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2049,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2050,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2051,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2052,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2053,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2054,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2055,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2056,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2057,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2058,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2059,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2060,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2061,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2062,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2063,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2064,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2065,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2066,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2067,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2068,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2069,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2070,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2071,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2072,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2073,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2074,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2075,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2076,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2077,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2078,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2079,65.1,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2079,57.53904109589077,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2080,0,mb/d,nan,Square,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2040,65.1,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2041,64.63011128493316,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2042,64.16022256986633,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2043,63.69033385479951,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2044,63.22044513973268,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2045,62.75055642466585,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2046,62.28066770959902,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2047,61.8107789945322,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2048,61.34089027946537,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2049,60.87100156439854,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2050,60.40111284933171,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2051,59.93122413426488,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2052,59.46133541919806,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2053,58.99144670413123,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2054,58.5215579890644,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2055,58.05166927399757,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2056,57.58178055893074,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2057,57.111891843863916,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2058,56.642003128797086,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2059,56.172114413730256,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2060,55.702225698663426,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2061,55.232336983596596,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2062,54.762448268529766,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2063,54.292559553462944,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2064,53.822670838396114,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2065,53.352782123329284,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2066,52.882893408262454,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2067,52.413004693195624,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2068,51.9431159781288,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2069,51.47322726306197,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2070,51.00333854799514,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2071,50.53344983292831,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2072,50.06356111786148,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2073,49.59367240279466,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2074,49.12378368772783,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2075,48.653894972661,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2076,48.18400625759417,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2077,47.71411754252734,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2078,47.24422882746052,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2079,46.77434011239369,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2080,46.30445139732686,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2081,45.83456268226003,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2082,45.3646739671932,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2083,44.89478525212637,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2084,44.424896537059546,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2085,43.955007821992716,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2086,43.485119106925886,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2087,43.015230391859056,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2088,42.545341676792226,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2089,42.0754529617254,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2090,41.60556424665857,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2091,41.13567553159174,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2092,40.66578681652491,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2093,40.195898101458084,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2094,39.726009386391254,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2095,39.256120671324425,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2096,38.786231956257595,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2097,38.316343241190765,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2098,37.84645452612394,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2099,37.37656581105711,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2100,36.90667709599028,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2101,36.43678838092345,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2102,35.96689966585662,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2103,35.4970109507898,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2104,35.02712223572297,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2105,34.55723352065614,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2106,34.08734480558931,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2107,33.61745609052248,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2108,33.14756737545566,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2109,32.67767866038883,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2110,32.207789945322,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2111,31.73790123025517,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2112,31.268012515188342,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2113,30.798123800121513,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2114,30.328235085054683,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2115,29.858346369987856,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2116,29.388457654921027,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2117,28.918568939854197,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2118,28.44868022478737,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2119,27.97879150972054,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2120,27.508902794653714,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2121,27.039014079586885,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2122,26.569125364520055,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2123,26.09923664945323,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2124,25.6293479343864,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2125,25.159459219319572,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2126,24.689570504252742,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2127,24.219681789185913,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2128,23.749793074119086,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2129,23.279904359052257,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2130,22.810015643985427,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2131,22.3401269289186,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2132,21.87023821385177,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2133,21.400349498784944,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2134,20.93046078371811,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2135,20.46057206865128,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2136,19.99068335358445,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2137,19.520794638517625,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2138,19.050905923450795,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2139,18.581017208383965,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2140,18.11112849331714,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2141,17.64123977825031,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2142,17.171351063183483,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2143,16.701462348116653,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2144,16.231573633049823,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2145,15.761684917982997,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2146,15.291796202916167,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2147,14.821907487849339,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2148,14.352018772782511,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2149,13.882130057715683,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2150,13.412241342648853,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2151,12.942352627582025,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2152,12.472463912515197,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2153,12.002575197448369,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2154,11.53268648238154,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2155,11.062797767314711,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2156,10.592909052247883,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2157,10.123020337181055,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2158,9.653131622114225,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2159,9.183242907047397,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2160,8.713354191980569,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2161,8.243465476913741,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2162,7.773576761846912,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2163,7.303688046780083,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2164,6.833799331713255,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2165,6.363910616646426,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2166,5.894021901579598,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2167,5.424133186512769,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2168,4.954244471445941,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2169,4.484355756379113,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2170,4.014467041312284,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2171,3.5445783262454555,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2172,3.074689611178627,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2173,2.6048008961117985,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2174,2.13491218104497,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2175,1.6650234659781418,mb/d,nan,Triangle,1646,1646 (US EIA)
The Shift Project,Extrapolation,Sustainable Development,2176,1.1951347509113133,mb/d,nan,Triangle,1646,1646 (US EIA)
