Report generated on: 02-06-2025 11:54:45
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"INTL.38-12-BIH-MTOE.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0005159071364879148","0.0006878761819838864","0.0006878761819838864","0.0011177987957238155","0.0036113499554154037","0.0266552020518756","0.0266552020518756"
"INTL.38-12-BWA-MTOE.A","        Botswana","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-BRA-MTOE.A","        Brazil","0.1653310403398271","0.17529664652631866","0.20274290618747573","0.27274290615661095","0.2680911434759449","0.26907136703527196","0.2751934650549286","0.3124505587616308","0.29463456564824814","0.28564918302108366","0.3318142732844772","0.3439380909919432","0.42123817694238247","0.4259673256935217","0.4632846085661475","0.4809974202522326","0.5805674975944002","0.6344797933573872","0.6453138432236335","0.7193465173096493","0.6744625964352007","0.7721410142769125","0.8786758379616669","1.0226999135645432","1.0727429058038709","1.1686156486678752","1.265950128418595","1.5498710225324441","1.7039552872968347","1.9434221831499752","2.7053310392198773","2.7888220108081714","3.070077384716833","3.511779878073236","4.050730866657611","4.2618228700039165","4.419604469246471","4.761831468235728","4.8833018035218085","4.925786756211588","5.245984520472812","4.97605330821006","4.885605328886227","5.014021433730723"
"INTL.38-12-VGB-MTOE.A","        British Virgin Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-BRN-MTOE.A","        Brunei","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-BGR-MTOE.A","        Bulgaria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001719690454959716","0.002493551159691588","0.001289767841219787","0","0.0009458297502278439","0.0005159071364879148","0.0016337059322117304","0.0014617368867157587","0.0006018916592359006","0.0005159071364879148","0.0013757523639677729","0.0006878761819838864","0.0030094582961795032","0.004815133273887205","0.005674978501367063","0.009458297502278439","0.017196904549597162","0.02338779018745214","0.030352536530038988","0.03404987100820238","0.1368959586670682","0.15744625960383682","0.14644883914436943","0.22260533094226045","0.1929214100611098","0.14006085118501924"
"INTL.38-12-BFA-MTOE.A","        Burkina Faso","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001719690454959716","0.0001719690454959716","0.004471195182895262","0.004815133273887205","0.008254514183806638","0.007566638001822751","0.007480653479074765","0.007566638001822751"
"INTL.38-12-MMR-MTOE.A","        Burma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0001719690454959716","0.0001719690454959716","0.0001719690454959716","0.0001719690454959716","0.0001719690454959716","0.0001719690454959716","0.0002579535682439574","0.016423043844865287","0.017970765254329033","0.019346517618296807","0.017712811686085076","0.01822871882257299","0.01986242475478472","0.021582115209744436","0.02235597591447631","0.022441960437224295","0.022622527934995064","0.023074847281313253","0.023114476859971617"
"INTL.38-12-BDI-MTOE.A","        Burundi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000429922613739929","0.0005159071364879148","0.0005159071364879148","0.0006018916592359006","0.0005159071364879148","0.0005159071364879148","0.0005674978501367063","0.0005674978501367063","0.0004901117796635191","0.00046431642283912335","0.0004729148751139219","0.0004987102319383177","0.000507784694531049","0.0005177190883357832"
"INTL.38-12-CPV-MTOE.A","        Cabo Verde","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.38-12-KHM-MTOE.A","        Cambodia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0006018916592359006","0.0011177987957238155","0.0012037833184718012","0.001289767841219787","0.0013757523639677729","0.0014617368867157587","0.0016337059322117304","0.001719690454959716","0.001719690454959716","0.001719690454959716","0.0009458297502278439","0.0014617368867157587","0.0032674118644234608","0.0036113499554154037","0.004471195182895262","0.005743766119565452","0.008211521922432644","0.0059501289741606175","0.004471195182895262","0.0011177987957238155","0.0011177987957238155"
